===== Beacon Round @ 0s =====
GW 2 [x=500, y=1000, z=15] → ED 11 | Distance: 1790.91 m | RSSI: -116.222 dBm | Packet Size: 16 bytes | Noise: -2.35541 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 13 | Distance: 1346.44 m | RSSI: -110.657 dBm | Packet Size: 16 bytes | Noise: -0.0228813 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 17 | Distance: 609.168 m | RSSI: -99.8013 dBm | Packet Size: 16 bytes | Noise: 1.32162 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 18 | Distance: 370.593 m | RSSI: -88.3863 dBm | Packet Size: 16 bytes | Noise: 2.75984 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 19 | Distance: 2058.22 m | RSSI: -117.473 dBm | Packet Size: 16 bytes | Noise: -0.756858 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 20 | Distance: 1450.85 m | RSSI: -106.043 dBm | Packet Size: 16 bytes | Noise: 4.86151 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 22 | Distance: 1862.39 m | RSSI: -114.749 dBm | Packet Size: 16 bytes | Noise: -0.0666291 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 26 | Distance: 1876.45 m | RSSI: -116.982 dBm | Packet Size: 16 bytes | Noise: 2.16031 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 32 | Distance: 1463.8 m | RSSI: -117.275 dBm | Packet Size: 16 bytes | Noise: -0.616234 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 34 | Distance: 1592.36 m | RSSI: -113.84 dBm | Packet Size: 16 bytes | Noise: 2.91752 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 37 | Distance: 810.872 m | RSSI: -101.998 dBm | Packet Size: 16 bytes | Noise: -1.63643 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 39 | Distance: 1149.16 m | RSSI: -115.149 dBm | Packet Size: 16 bytes | Noise: 4.15468 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 42 | Distance: 1644.98 m | RSSI: -113.947 dBm | Packet Size: 16 bytes | Noise: -1.32416 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 43 | Distance: 337.979 m | RSSI: -88.6399 dBm | Packet Size: 16 bytes | Noise: 2.29362 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 46 | Distance: 934.877 m | RSSI: -107.852 dBm | Packet Size: 16 bytes | Noise: -3.89235 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 50 | Distance: 1611.49 m | RSSI: -117.641 dBm | Packet Size: 16 bytes | Noise: 1.22455 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 53 | Distance: 1477.68 m | RSSI: -116.051 dBm | Packet Size: 16 bytes | Noise: -0.369395 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 58 | Distance: 1596.97 m | RSSI: -114.465 dBm | Packet Size: 16 bytes | Noise: -0.692821 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 59 | Distance: 953.389 m | RSSI: -101.831 dBm | Packet Size: 16 bytes | Noise: 2.19695 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 63 | Distance: 481.7 m | RSSI: -116.702 dBm | Packet Size: 16 bytes | Noise: 1.47126 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 65 | Distance: 1513.05 m | RSSI: -110.311 dBm | Packet Size: 16 bytes | Noise: 0.98589 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 67 | Distance: 240.558 m | RSSI: -105.194 dBm | Packet Size: 16 bytes | Noise: 1.37434 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 72 | Distance: 1607.05 m | RSSI: -118.068 dBm | Packet Size: 16 bytes | Noise: 1.8853 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 74 | Distance: 1136.18 m | RSSI: -113.904 dBm | Packet Size: 16 bytes | Noise: -0.0209058 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 75 | Distance: 1205.67 m | RSSI: -106.284 dBm | Packet Size: 16 bytes | Noise: -0.751191 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 77 | Distance: 1760.75 m | RSSI: -113.882 dBm | Packet Size: 16 bytes | Noise: -2.52194 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 80 | Distance: 1132.34 m | RSSI: -108.929 dBm | Packet Size: 16 bytes | Noise: -1.39184 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 82 | Distance: 184.23 m | RSSI: -110.321 dBm | Packet Size: 16 bytes | Noise: -2.27367 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 84 | Distance: 200.77 m | RSSI: -77.3123 dBm | Packet Size: 16 bytes | Noise: 0.149846 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 85 | Distance: 1196.29 m | RSSI: -109.309 dBm | Packet Size: 16 bytes | Noise: -0.394185 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 86 | Distance: 1227.3 m | RSSI: -110.515 dBm | Packet Size: 16 bytes | Noise: 1.44145 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 88 | Distance: 980.743 m | RSSI: -109.443 dBm | Packet Size: 16 bytes | Noise: -4.37701 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 91 | Distance: 1362.39 m | RSSI: -112.055 dBm | Packet Size: 16 bytes | Noise: -1.73853 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 92 | Distance: 1666.44 m | RSSI: -118.828 dBm | Packet Size: 16 bytes | Noise: -0.474856 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 93 | Distance: 1610.94 m | RSSI: -107.913 dBm | Packet Size: 16 bytes | Noise: 4.03156 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 96 | Distance: 1863.08 m | RSSI: -114.537 dBm | Packet Size: 16 bytes | Noise: 0.566264 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 99 | Distance: 1962.6 m | RSSI: -119.637 dBm | Packet Size: 16 bytes | Noise: 1.22811 dBm | Tx power: 14 dBm
→ GW 2 Beacon PDR: 44/100 (44%)

===== Beacon Round @ 60s =====
GW 0 [x=892.16, y=93.0805, z=15] → ED 0 | Distance: 668.599 m | RSSI: -99.031 dBm | Packet Size: 16 bytes | Noise: -1.30604 dBm | Tx power: 14 dBm
GW 0 [x=892.16, y=93.0805, z=15] → ED 1 | Distance: 1174.97 m | RSSI: -109.838 dBm | Packet Size: 16 bytes | Noise: 1.38014 dBm | Tx power: 14 dBm
GW 0 [x=892.16, y=93.0805, z=15] → ED 2 | Distance: 1131.7 m | RSSI: -107.871 dBm | Packet Size: 16 bytes | Noise: 3.82534 dBm | Tx power: 14 dBm
GW 0 [x=892.16, y=93.0805, z=15] → ED 4 | Distance: 706.923 m | RSSI: -99.8062 dBm | Packet Size: 16 bytes | Noise: 1.06822 dBm | Tx power: 14 dBm
GW 0 [x=892.16, y=93.0805, z=15] → ED 8 | Distance: 743.367 m | RSSI: -97.0893 dBm | Packet Size: 16 bytes | Noise: 2.65129 dBm | Tx power: 14 dBm
